123519.17,122673.33,135982.72,155946.81,177962.03,195518,209784
129034,128977.88,143809.83,163841.53,187341.15,205876,221056
136073.14,129921,145456,172200,199232.4,220472.9,237300
15004.39,16300,16700,19659.98,17587.32,18135.3,18476.57
179.47,272,326.61,350.15,414.6,493,585.53
1905.77,2224.14,2880,2836.81,3535.44,3970.2,4357.86
128.33,167.37,251,433.42,504.69,530.9,548.43
78.68984223258624,75.65,76.41,78.87,79.97,80.55,80.8
17.353800223884278,18.98,17.54,15.54,14.12,13.25,12.58
1.932453075907165,2.95,3.19,2.99,3.1,3.35,3.71
1.8962157857764104,2.25,2.63,2.26,2.47,2.52,2.59
0.12768868184590296,0.17,0.23,0.34,0.35,0.33,0.32
75.3,71.95,72.25,75.07,75.96,76.49,76.68
16.6,18.05,16.59,14.79,13.41,12.58,11.94
1.9,2.8,3.02,2.84,2.94,3.19,3.52
5.849733499387758,6.69,7.49,6.34,6.73,6.83,6.99
0.39390708216439085,0.5,0.65,0.96,0.95,0.91,0.87
