"row ID","Percentage of total energy employment currently (1)","% of total energy use 2020 planned (2)","% of total energy use in 'greener' scenario 2020 (3)","% of total energy use in 'greenest' scenario 2020 (4)","Net change (1) to (4)"
"Sichuan",0.05052853518099922,0.05253559752529726,0.07017044767867589,0.08706756461623122,0.036539029435232
"Guangdong",0.017585232317699005,0.015101704173470268,0.02840669485617007,0.04355736676463504,0.025972134446936038
"Hubei",0.013780742176565665,0.012903580741658746,0.024861354400907837,0.03789446971323873,0.02411372753667307
"Fujian",0.010780943838622197,0.010789503385136083,0.022147573610319105,0.034719251114501436,0.02393830727587924
"Hunan",0.03290402391049817,0.03402144926520928,0.04357192310226452,0.05419323575333801,0.021289211842839842
"Guangxi",0.007885136904457333,0.007803947619482282,0.017583605377653688,0.028402918565439157,0.020517781660981824
"Yunnan",0.012742634067644075,0.012346292976148057,0.020132569021682842,0.02928607514336931,0.016543441075725238
"Qinghai",0.003663778183777341,0.003804760905112016,0.012394397012209943,0.020064398796054254,0.016400620612276914
"Gansu",0.020103299131047227,0.020261020193368628,0.02830032964265956,0.03485527211465062,0.014751972983603395
"Xinjiang",0.0241678430286631,0.024599794694721042,0.03204202759579235,0.035013998581412305,0.010846155552749204
"Jiangxi",0.017540987060519687,0.017836007893015305,0.022330335501009248,0.02774436412660887,0.010203377066089182
"Zhejiang",0.009728839781001026,0.0073733620126845735,0.011651496826850032,0.0175090792137368,0.007780239432735774
"Guizhou",0.020210450910338643,0.020550967487341573,0.022287692051255158,0.025383765171875156,0.005173314261536513
"Chongqing",0.016199181914224398,0.016978263265772682,0.018407513397710618,0.02060376908669941,0.0044045871724750114
"Hainan",0.0010253161127983168,0.0009010075742195476,0.0029493941691789466,0.005220944288905984,0.004195628176107667
"Tibet",0.0003830074133379886,0.00041234073440396107,0.0019191101749673177,0.003482223549721038,0.003099216136383049
"Ningxia",0.011163951251960185,0.011142632691631498,0.012420269352472245,0.01382698717786071,0.002663035925900524
"Tianjin",0.01190724147375835,0.01214726714802155,0.012638161403882207,0.00987662020359832,-0.0020306212701600296
"Shanghai",0.006904969013270567,0.006421807436393419,0.0059567095400548595,0.004776612575257846,-0.0021283564380127212
"Inner Mongolia",0.029058298393626274,0.02797644561577338,0.026648355116885236,0.026888265970148,-0.002170032423478272
"Beijing",0.010937457673542239,0.010837752852101775,0.009776421326240806,0.007817632620360683,-0.003119825053181556
"Jilin",0.025951799758607508,0.02597670740768943,0.024407388022494515,0.021817486215619426,-0.004134313542988082
"Jiangsu",0.03114700561944865,0.028917338942982734,0.02590461988075582,0.024350024924979605,-0.006796980694469046
"Shaanxi",0.021563844100180894,0.020258520029644924,0.014910083387944077,0.011866493289365307,-0.009697350810815587
"Anhui",0.045972778632249675,0.04707010285279685,0.03753454512218665,0.02999485237866563,-0.015977926253584046
"Liaoning",0.05887915025027164,0.05900416986789791,0.05253885316204291,0.04222569844140001,-0.01665345180887163
"Hebei",0.05653490409012789,0.056490716618286245,0.048386624867993805,0.039841661991668546,-0.016693242098459342
"Heilongjiang",0.07650321003855658,0.07394719114172532,0.0595243920351462,0.04498074517741476,-0.03152246486114182
"Henan",0.10492311257859553,0.10522621148187532,0.0851218751178901,0.06621131964717189,-0.03871179293142364
"Shandong",0.10915846724797511,0.1099304816040433,0.08843612678694647,0.06525525876892613,-0.04390320847904898
"Shanxi",0.1401641589337796,0.14643305386209504,0.11663911045775698,0.08527164401714582,-0.05489251491663377
